Date,Time,North Price,West Price,South Price,Houston Price,North Load,West Load,South Load,Houston Load,North Predicted Load,West Predicted Load,South Predicted Load,Houston Predicted Load,Oil Price
01/01/2023,00:00,-2.12,-2.02,-2.11,-2.115,11118.248963,7102.853761,8891.418391,8578.637876,14210.61611238405,7615.188874191406,10261.255993880843,11152.307650720983,76.87
01/01/2023,01:00,-1.15,-0.895,-1.125,-1.1375,11115.263857,7107.853761,8871.418391,8514.637876,14297.42546879167,7661.026270952035,10166.597073476722,11011.45053347247,76.87
01/01/2023,02:00,-1.17,-1.1275,-1.1675,-1.17,10855.755296000001,7031.047191000001,8779.86347,8345.632899,14375.662482390413,7669.107039454003,10155.831780803515,10867.511019543428,76.87
01/01/2023,03:00,-0.0175,0.0275,-0.0125,-0.015,10641.477018,7012.444477999999,8589.953921,8125.706879,14610.251706167845,7720.992165284417,10144.531996261087,10957.79366873167,76.87
01/01/2023,04:00,-0.8125,-0.8125,-0.8125,-0.8125,10574.197398,7035.1951819999995,8396.254101999999,7995.083655,14931.854721403839,7762.28196453864,10258.219673376445,11067.9440138544,76.87
01/01/2023,05:00,-0.6825,-0.6825,-0.6825,-0.6825,10599.560346,7000.136554000001,8358.461376,7906.920393,15503.221368684131,7834.422193947507,10501.317820622326,11450.200235794986,76.87
01/01/2023,06:00,4.2525,14.0225,4.8075,4.5325,10727.672439999998,6987.102635,8463.301741,7889.554389,16157.291323580139,7866.799744035385,10798.989368349005,11607.195705838703,76.87
01/01/2023,07:00,15.815,50.975,17.805,16.815,10978.237034000002,6916.397064,8752.168753,7934.474748,16359.558009807692,7923.56527551707,11039.641973326443,11620.361276992919,76.87
01/01/2023,08:00,16.2625,48.205,18.05,17.1675,11284.117747999999,6935.445907,8940.91729,7935.765832,16346.75261300134,7982.555042194785,11163.10440582411,11662.65901657214,76.87
01/01/2023,09:00,9.71,19.4325,10.2575,9.99,11642.942255,6962.603121,9005.218334,8123.640818,16030.638624088757,7943.984763735461,11415.527597320632,11890.594387991583,76.87
01/01/2023,10:00,21.62,42.95,22.765,22.205,11759.031359,7073.472698,9150.322285,8457.019497,15759.359096090135,7881.000839665628,11426.090387734803,12148.961233585032,76.87
01/01/2023,11:00,17.995,53.5175,19.9075,18.9775,11761.546138000002,7057.193101,9107.625272,8817.685609,15230.004281544541,7797.354057049396,11254.611092791,12256.106273598441,76.87
01/01/2023,12:00,17.575,51.6475,17.0525,18.5425,11899.704326,7024.65258,9018.130065,9186.859668,14739.037292470886,7706.253715726247,11023.302104381855,12157.918646464916,76.87
01/01/2023,13:00,25.6175,76.17,25.1425,26.965,12031.791346,7079.890662999999,9115.77267,9484.775321,14147.351671683979,7584.89371607451,10726.659820308663,12060.951872114076,76.87
01/01/2023,14:00,28.4825,56.59,31.025,29.205,12069.302065,6799.681676,9362.46988,9751.880756,13718.546031574562,7493.678678776898,10544.140783200313,12090.515748948304,76.87
01/01/2023,15:00,28.3875,37.9125,29.2175,28.6425,12095.043814,6838.1359170000005,9694.822451,10018.235508,13534.310898683714,7418.518572545714,10507.79082914012,12039.299201911646,76.87
01/01/2023,16:00,46.5525,80.905,48.3675,47.48,12282.319169999999,6998.725507,9891.235422,10206.582598,13631.543572024624,7434.892796625687,10616.279854068403,12172.466037029868,76.87
01/01/2023,17:00,41.5075,97.405,44.475,43.02,12400.290493,6861.288108,10112.206683,10222.851613,14891.02305137462,7617.01340187374,11118.76095749698,12531.380309010456,76.87
01/01/2023,18:00,17.65,17.6475,17.605,17.6525,12839.493116,6768.3059889999995,10274.976294,10358.767529,16632.888870954437,7865.005885116687,12103.701807374944,13025.41855735778,76.87
01/01/2023,19:00,5.825,5.8225,5.635,5.835,13375.061403,7048.335362,10509.237872,10662.355338,16954.565769527322,7972.329276455679,12463.414049583054,13095.07983658383,76.87
01/01/2023,20:00,9.1375,9.1375,9.1125,9.1375,13115.185381,7143.844319999999,10389.949351,10558.768508,17196.289809100672,8031.641885587219,12577.819400053675,13111.26742466106,76.87
01/01/2023,21:00,4.46,4.46,4.4325,4.46,12937.65979,7144.56074,10198.763386,10442.706616,17127.847096213733,8099.557128173747,12464.72100021412,12731.628089745296,76.87
01/01/2023,22:00,1.395,1.395,1.3025,1.395,12567.874152,7098.0786370000005,9997.50799,10278.031264,16577.191919711924,7985.855657526063,12028.773756573293,12580.744858805874,76.87
01/01/2023,23:00,-1.985,-1.985,-2.0725,-1.98,12085.63985,6988.761210000001,9670.477719,10003.157039,16106.509259039625,7924.660077435633,11589.757276792538,12291.146247480878,76.87
01/02/2023,00:00,-3.845,-3.845,-3.8925,-3.8425,11487.543832,6937.785412,9139.542109,9674.794693,15635.242968128765,7792.171457246273,11423.34780380678,12247.189480591867,76.87
01/02/2023,01:00,-14.495,-14.495,-14.5125,-14.495,10706.20061,6836.7064629999995,9111.617011999999,9052.174729,15635.053630198856,7823.529437697855,11368.230981506986,12176.281967418996,76.87
01/02/2023,02:00,-26.08,-26.08,-26.085,-26.08,10314.568670999999,6821.731081,8782.419313,8796.923448,15860.749562356996,7878.644548545714,11462.269627910919,12075.089021374264,76.87
01/02/2023,03:00,-30.36,-30.36,-30.36,-30.36,10087.553505,6818.1151199999995,8558.795059,8580.184617,16282.43212572151,7963.264232394246,11642.06016388338,12184.743771876925,76.87
01/02/2023,04:00,-27.265,-27.265,-27.265,-27.265,10027.965038999999,6868.233361,8323.255361,8533.345721,16805.205619493507,8041.615466116429,11977.66203343332,12396.732213557434,76.87
01/02/2023,05:00,-5.3625,-5.3625,-5.48,-5.3575,10132.249629,6915.457394,8345.891633,8568.291127,18021.307109188365,8220.55692068094,12667.656643811124,12979.164433903354,76.87
01/02/2023,06:00,0.225,0.2225,-0.42,0.21,10447.38408,6987.933776,8537.427824,8723.678695,20558.546512839373,8495.558949579421,14364.477963446016,14242.829124484228,76.87
01/02/2023,07:00,4.78,4.785,3.4,4.7125,10957.5308,7004.304383999999,9017.6242,8964.275223,22340.64841455855,8864.993572088337,15137.515753171734,14615.100801709254,76.87
01/02/2023,08:00,14.1325,14.1625,10.8825,13.9025,11414.705376000002,7161.157333000001,9337.791316,9131.172956,21476.061177505577,8610.916139606745,14758.95182113106,14911.233329867327,76.87
01/02/2023,09:00,19.48,19.55,17.2275,19.06,11928.723619,7123.209516,9583.225005,9414.933747,20088.473534757064,8390.495283660084,13829.03019522081,15062.217900082958,76.87
01/02/2023,10:00,24.195,24.4025,21.9575,23.355,12628.179680000001,7210.3629120000005,10025.017099,9854.008535,19200.164556420248,8238.658061112013,13176.121171404327,14960.629563000653,76.87
01/02/2023,11:00,17.745,17.84,23.03,17.5525,13181.149316,7298.360822999999,10305.045094000001,10372.590888,17976.954084649653,8073.60417952641,12768.786878652694,14849.746073120572,76.87
01/02/2023,12:00,12.2925,9.505,14.56,11.6,13671.177055999999,7322.105974,10615.767948,10806.020053,17245.620285957004,7895.595454030747,12221.00183606945,14501.45516131479,76.87
01/02/2023,13:00,15.435,2.695,20.555,15.15,13955.487063,7318.265719000001,10929.112261,11068.732067,16655.541698246554,7787.670204012144,11885.06068448335,14419.333267399616,76.87
01/02/2023,14:00,15.385,0.845,25.87,17.7325,14054.521709,7268.326731000001,11223.411651,11234.28612,16176.577740149303,7694.1211945955265,11619.075519019398,13765.941696873908,76.87
01/02/2023,15:00,15.0,1.2075,32.27,20.675,14104.655848999999,7224.7627569999995,11491.891129,11262.214553,16017.983258316128,7653.288522624154,11498.17995572717,13807.427498415944,76.87
01/02/2023,16:00,16.455,1.085,29.375,21.4725,14152.205695999999,7185.51957,11683.154395,11366.088351,16398.797597012384,7703.846085926449,11600.67833457755,14006.366581445223,76.87
01/02/2023,17:00,32.3075,14.6575,35.93,34.7725,14289.466272,7211.622375,11802.178208000001,11443.705709,17789.091106239168,7916.089425704607,12195.261188683258,14995.458898038669,76.87
01/02/2023,18:00,63.0975,62.965,55.0175,63.365,14759.100015,7293.1546339999995,11831.211089,11772.568623,19789.655877102447,8243.743556426823,13777.36273172612,15992.452666215362,76.87
01/02/2023,19:00,43.415,43.32,37.805,43.61,15020.044125,7433.367504000001,11917.224753999999,11895.000792,20231.49527616698,8329.992792377248,14323.294766612578,15930.69339043026,76.87
01/02/2023,20:00,37.2225,37.1775,34.44,37.315,14713.180994,7432.540283,11684.654566,11738.235881,20407.192272573993,8376.973058921743,14634.727034557585,15593.842324812207,76.87
01/02/2023,21:00,25.8375,25.8175,24.8275,25.87,14205.355666,7396.342812,11316.137133,11514.46456,19806.373392392907,8265.213464907272,14255.629613240646,15185.389535691418,76.87
